id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.municipality,children_count.barangay,zip_codes,geo.lat,geo.lon
015530,3,Bayan,Municipality,Pozorrubio,Pozorrubio,pozorrubio-015530,015530,,015500,Pangasinan,Pangasinan,,,,34,,16.1089,120.5456
015531,3,Bayan,Municipality,Rosales,Rosales,rosales-015531,015531,,015500,Pangasinan,Pangasinan,,,,37,,15.883,120.633
015532,3,Bayan,Municipality,San Carlos City,San Carlos City,san-carlos-city-015532,015532,,015500,Pangasinan,Pangasinan,,,,86,,15.92806,120.34889
015533,3,Bayan,Municipality,San Fabian,San Fabian,san-fabian-015533,015533,,015500,Pangasinan,Pangasinan,,,,34,,16.15,120.45
015534,3,Bayan,Municipality,San Jacinto,San Jacinto,san-jacinto-015534,015534,,015500,Pangasinan,Pangasinan,,,,19,,16.0725,120.44111
015535,3,Bayan,Municipality,San Manuel,San Manuel,san-manuel-015535,015535,,015500,Pangasinan,Pangasinan,,,,14,,16.067,120.667
015536,3,Bayan,Municipality,San Nicolas,San Nicolas,san-nicolas-015536,015536,,015500,Pangasinan,Pangasinan,,,,33,,16.07,120.76528
015537,3,Bayan,Municipality,San Quintin,San Quintin,san-quintin-015537,015537,,015500,Pangasinan,Pangasinan,,,,21,,15.98444,120.815
015538,3,Bayan,Municipality,Santa Barbara,Santa Barbara,santa-barbara-015538,015538,,015500,Pangasinan,Pangasinan,,,,29,,16.00306,120.40083
015539,3,Bayan,Municipality,Santa Maria,Santa Maria,santa-maria-015539,015539,,015500,Pangasinan,Pangasinan,,,,23,,15.98083,120.70028
015540,3,Bayan,Municipality,Santo Tomas,Santo Tomas,santo-tomas-015540,015540,,015500,Pangasinan,Pangasinan,,,,10,,15.71194,120.58472
015541,3,Bayan,Municipality,Sison,Sison,sison-015541,015541,,015500,Pangasinan,Pangasinan,,,,28,,16.15694,120.52222
015542,3,Bayan,Municipality,Sual,Sual,sual-015542,015542,,015500,Pangasinan,Pangasinan,,,,19,,16.067,120.1
015543,3,Bayan,Municipality,Tayug,Tayug,tayug-015543,015543,,015500,Pangasinan,Pangasinan,,,,21,,16.02361,120.74778
015544,3,Bayan,Municipality,Umingan,Umingan,umingan-015544,015544,,015500,Pangasinan,Pangasinan,,,,58,,15.9,120.8
015545,3,Bayan,Municipality,Urbiztondo,Urbiztondo,urbiztondo-015545,015545,,015500,Pangasinan,Pangasinan,,,,21,,15.817,120.35
015546,3,Bayan,Municipality,Urdaneta,Urdaneta,urdaneta-015546,015546,,015500,Pangasinan,Pangasinan,,,,34,,15.97611,120.57111
015547,3,Bayan,Municipality,Villasis,Villasis,villasis-015547,015547,,015500,Pangasinan,Pangasinan,,,,21,,15.9,120.583
015548,3,Bayan,Municipality,Laoac,Laoac,laoac-015548,015548,,015500,Pangasinan,Pangasinan,,,,22,,16.1167,120
020900,2,Lalawigan,Province,Batanes,Batanes,batanes-020900,020900,,R02,Cagayan Valley,Cagayan Valley,,,6,29,,20.4421,121.9103
020901,3,Bayan,Municipality,Basco,Basco,basco-020901,020901,,020900,Batanes,Batanes,,,,6,,20.4496778,121.9698694
020902,3,Bayan,Municipality,Itbayat,Itbayat,itbayat-020902,020902,,020900,Batanes,Batanes,,,,5,,20.767,121.85
020903,3,Bayan,Municipality,Ivana,Ivana,ivana-020903,020903,,020900,Batanes,Batanes,,,,4,,20.367,121.917
020904,3,Bayan,Municipality,Mahatao,Mahatao,mahatao-020904,020904,,020900,Batanes,Batanes,,,,4,,20.417,121.95
020905,3,Bayan,Municipality,Sabtang,Sabtang,sabtang-020905,020905,,020900,Batanes,Batanes,,,,6,,20.333,121.867
020906,3,Bayan,Municipality,Uyugan,Uyugan,uyugan-020906,020906,,020900,Batanes,Batanes,,,,4,,20.35,121.933
021500,2,Lalawigan,Province,Cagayan,Cagayan,cagayan-021500,021500,,R02,Cagayan Valley,Cagayan Valley,,,29,820,,17.9308,121.6245
021501,3,Bayan,Municipality,Abulug,Abulug,abulug-021501,021501,,021500,Cagayan,Cagayan,,,,20,,18.45,121.45
021502,3,Bayan,Municipality,Alcala,Alcala,alcala-021502,021502,,021500,Cagayan,Cagayan,,,,25,,17.9,121.65
021503,3,Bayan,Municipality,Allacapan,Allacapan,allacapan-021503,021503,,021500,Cagayan,Cagayan,,,,27,,18.25,121.583
021504,3,Bayan,Municipality,Amulung,Amulung,amulung-021504,021504,,021500,Cagayan,Cagayan,,,,47,,17.833,121.733
021505,3,Bayan,Municipality,Aparri,Aparri,aparri-021505,021505,,021500,Cagayan,Cagayan,,,,42,,18.333,121.667
021506,3,Bayan,Municipality,Baggao,Baggao,baggao-021506,021506,,021500,Cagayan,Cagayan,,,,48,,17.917,121.967
021507,3,Bayan,Municipality,Ballesteros,Ballesteros,ballesteros-021507,021507,,021500,Cagayan,Cagayan,,,,19,,18.4,121.517
021508,3,Bayan,Municipality,Buguey,Buguey,buguey-021508,021508,,021500,Cagayan,Cagayan,,,,30,,18.283,121.833
021509,3,Bayan,Municipality,Calayan,Calayan,calayan-021509,021509,,021500,Cagayan,Cagayan,,,,12,,19.267,121.483
021510,3,Bayan,Municipality,Camalaniugan,Camalaniugan,camalaniugan-021510,021510,,021500,Cagayan,Cagayan,,,,28,,18.27444,121.67361
021511,3,Bayan,Municipality,Claveria,Claveria,claveria-021511,021511,,021500,Cagayan,Cagayan,,,,41,,18.6075,121.085
021512,3,Bayan,Municipality,Enrile,Enrile,enrile-021512,021512,,021500,Cagayan,Cagayan,,,,22,,17.55,121.7
021513,3,Bayan,Municipality,Gattaran,Gattaran,gattaran-021513,021513,,021500,Cagayan,Cagayan,,,,50,,18.067,121.65
021514,3,Bayan,Municipality,Gonzaga,Gonzaga,gonzaga-021514,021514,,021500,Cagayan,Cagayan,,,,25,,18.267,122
021515,3,Bayan,Municipality,Iguig,Iguig,iguig-021515,021515,,021500,Cagayan,Cagayan,,,,23,,17.75,121.733
021516,3,Bayan,Municipality,Lal-Lo,Lal-Lo,lal-lo-021516,021516,,021500,Cagayan,Cagayan,,,,35,,18.2,121.667
021517,3,Bayan,Municipality,Lasam,Lasam,lasam-021517,021517,,021500,Cagayan,Cagayan,,,,30,,18.067,121.6
021518,3,Bayan,Municipality,Pamplona,Pamplona,pamplona-021518,021518,,021500,Cagayan,Cagayan,,,,18,,18.45,121.34167
021519,3,Bayan,Municipality,Peñablanca,Peñablanca,peablanca-021519,021519,,021500,Cagayan,Cagayan,,,,24,,17.633,121.783
021520,3,Bayan,Municipality,Piat,Piat,piat-021520,021520,,021500,Cagayan,Cagayan,,,,18,,17.79111,121.47611
021521,3,Bayan,Municipality,Rizal,Rizal,rizal-021521,021521,,021500,Cagayan,Cagayan,,,,29,,17.85,121.35
021522,3,Bayan,Municipality,Sanchez-Mira,Sanchez-Mira,sanchez-mira-021522,021522,,021500,Cagayan,Cagayan,,,,18,,18.567,121.233
